h,parameterization,topology,lambda2,beta_star
0.01,P1_beta_h,Grid 4x4,1.9999999999999978,0.47657841957089464
0.01,P1_beta_h,Ring,0.15224093497742638,0.5212720327929802
0.01,P1_beta_h,Complete,15.999999999999986,0.23276215632996564
0.01,P1_beta_h,Star,0.9999999999999986,0.43980498907213167
0.01,P1_beta_h,Random Regular (degree 4),1.3088589579464185,0.48015594076512796
0.01,P1_beta_h,Small World,0.8329603841488862,0.4768563366963629
0.01,P2_beta_B,Grid 4x4,1.9999999999999978,0.230855455911642
0.01,P2_beta_B,Ring,0.15224093497742638,nan
0.01,P2_beta_B,Complete,15.999999999999986,0.14502443994961614
0.01,P2_beta_B,Star,0.9999999999999986,nan
0.01,P2_beta_B,Random Regular (degree 4),1.3088589579464185,0.24025258748795178
0.01,P2_beta_B,Small World,0.8329603841488862,0.25804325538360134
0.0,P1_beta_h,Grid 4x4,1.9999999999999978,0.4762765495534544
0.0,P1_beta_h,Ring,0.15224093497742638,0.5213557303754142
0.0,P1_beta_h,Complete,15.999999999999986,0.23274479967672965
0.0,P1_beta_h,Star,0.9999999999999986,0.43977159929380777
0.0,P1_beta_h,Random Regular (degree 4),1.3088589579464185,0.4798428524793469
0.0,P1_beta_h,Small World,0.8329603841488862,0.47655281959548296
0.0,P2_beta_B,Grid 4x4,1.9999999999999978,0.23275720785303144
0.0,P2_beta_B,Ring,0.15224093497742638,nan
0.0,P2_beta_B,Complete,15.999999999999986,0.14501189686199584
0.0,P2_beta_B,Star,0.9999999999999986,nan
0.0,P2_beta_B,Random Regular (degree 4),1.3088589579464185,0.24129094126274556
0.0,P2_beta_B,Small World,0.8329603841488862,0.25835171498544074
